mol_bdID,mol_smiles,bioactivity_class,mol_IC50
50051738,COCCOCCN(CCCCCSc1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,340.0
51128130,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCSc1nc2ccccc2[nH]1,active,350.0
50004775,CCCCCCCCCCCCn1nnc(C(NC(=O)c2ccccc2)c2ccccc2)n1,active,350.0
50004774,CCCCCCCCCCCCn1nnnc1C(NC(=O)c1ccccc1C(F)(F)F)c1ccccc1,active,350.0
50053369,CC(=O)Nc1ccc(CC(NC(=O)C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,active,350.0
50051756,CC(C)NC(=O)N(CCN(C)CCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)CCN1CCOCC1,active,350.0
50051737,CCCCCCCN(CCCCCSc1nc(-c2ccccc2OC)c(-c2ccccc2OC)[nH]1)C(=O)Nc1ccc(F)cc1F,active,350.0
50768296,Cc1ccc(C(=O)NC(CNC(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)cc1,active,350.0
50082544,O=C(N[C@@H]1c2ccccc2CC[C@@H]1c1ccc(O)cc1)C(c1ccccc1)c1ccccc1,active,350.0
50053392,CCCCCCCC/C=C\CCCCCCCC(=O)NC(Cc1ccc(N)cc1)c1ccccc1,active,360.0
50779884,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)N(C(C)C)C1CCCCC1,active,360.0
50762086,O=C1CCC(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)N1,active,360.0
50779771,CCCCN(CCCC)S(=O)(=O)NC(=O)Nc1c(C(C)C)cccc1C(C)C,active,360.0
50053393,CS(=O)(=O)Nc1ccc(CC(NC(=O)C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,active,360.0
51138738,CC(C)c1cc(C(C)C)c(NC(=O)CN2CCN(CCSc3nc4ncccc4o3)CC2)c(C(C)C)c1,active,370.0
50768366,CC(C)c1cccc(C(C)C)c1NC(=O)NCC(NCc1cccnc1)c1ccccc1,active,370.0
50004383,CN(C)c1ccc(-c2nc(SCCOCCSc3nc(-c4ccc(N(C)C)cc4)c(-c4ccc(N(C)C)cc4)[nH]3)[nH]c2-c2ccc(N(C)C)cc2)cc1,active,370.0
51138735,CC(C)c1cccc(C(C)C)c1NC(=O)CC[C@H]1CCCC[C@H]1CSc1nc2ccccc2o1,active,370.0
50004777,CCCCCCCCCCCCn1nnnc1C(NC(=O)c1ccc(F)cc1F)c1ccccc1,active,380.0
50768303,CC(C)c1cccc(C(C)C)c1NC(=O)NCC(NC(=O)CCCCCBr)c1ccccc1,active,380.0
50768364,COCCCCCC(=O)NC(CNC(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,380.0
50602954,CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(-c3cccc(F)c3)cc(N3CCOCC3)nn12,active,380.0
50004859,CCCCCCCCCCCCn1nnnc1C(NC(=O)c1c(Cl)cccc1Cl)c1ccccc1,active,380.0
50835202,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cc(CN)cc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,382.0
51061799,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(=O)c1ccccc1,active,390.0
50058713,O=C(NCCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)Nc1ccc(F)cc1F,active,400.0
50768311,CC(C)=CCCC(C)CC(=O)NC(CNC(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,400.0
50779888,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)N(Cc1ccccc1)C(C)C,active,400.0
51128118,Cc1ccc2nc(SCCCCCC(=O)Nc3c(C(C)C)cccc3C(C)C)oc2c1,active,400.0
50005511,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,active,400.0
50004401,CC(C)c1nc2ccccc2n1CCCCCSc1nc(-c2ccc(N(C)C)cc2)c(-c2ccc(N(C)C)cc2)[nH]1,active,400.0
50082549,COc1ccc2c(c1)[C@H](NC(=O)C(c1ccccc1)c1ccccc1)[C@@H](c1ccc(O)cc1)CC2,active,400.0
50623263,CCCCCCCN(Cc1ccco1)C(=O)Nc1c(Cl)cc(Cl)cc1Cl,active,406.0
50768352,CC(C)c1cccc(C(C)C)c1NC(=O)NCC(Cc1ccccc1)NCc1ccccc1O,active,410.0
50571812,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C)cccc3C)CCN(c3ccccc3OC)CC2)c1,active,410.0
50708849,CCCC[C@H](C)[C@@H]1CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N[C@H]([C@@H](C)CC)C(=O)O1,active,410.0
51128107,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCCCCCCCSc1nc2ccccc2o1,active,410.0
51128104,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCSc1nc2ccccc2s1,active,410.0
51138729,CC(C)c1cc(C(C)C)c(NC(=O)CN2CCN(CCSc3nc4ccccc4s3)CC2)c(C(C)C)c1,active,410.0
50779859,CC(C)CN(CC(C)C)S(=O)(=O)NC(=O)Nc1c(C(C)C)cccc1C(C)C,active,420.0
