,IC50
1678, 160
1679, 160
1680, 164
1681, 170
1682, 170
1683, 170
1684, 170
1685, 170
1686, 170
1687, 170
1688, 170
1689, 180
1690, 180
1691, 180
1692, 180
1693, 180
1694, 180
1695, 180
1696, 190
1697, 190
1698, 190
1699, 190
1700, 190
1701, 190
